Organization,Release_Count,Total_Labor_Hours,All_In_Production,Licenses,Most_Active_Months
Ames Laboratory (AMES),5,215049.59999999998,false,BSD-3-Clause,[10]
Argonne National Laboratory (ANL),15,1956361.6,false,"Other, BSD-2-Clause, LGPL-3.0, BSD-3-Clause, GPL-2.0",[10]
Brookhaven National Laboratory (BNL),6,157152.80000000002,false,"Other, BSD-3-Clause, MIT",[10]
Contractor (CONTR),33,2612165.6,false,"BSD-3-Clause, Other, GPL-2.0, MIT, BSD-2-Clause, Apache-2.0, GPL-3.0",[10]
Fermi National Accelerator Laboratory (FNAL),12,26144.0,false,"MIT, GPL-3.0, Apache-2.0, BSD-3-Clause, Other, GPL-2.0",[3]
Idaho National Laboratory (INL),29,2117405.6,false,"LGPL-2.1, Apache-2.0, MPL-2.0, GPL-2.0, MIT, LGPL-3.0, BSD-3-Clause",[10]
Lawrence Berkeley National Laboratory (LBNL),111,2.9354468E7,false,"Other, BSD-3-Clause, GPL-2.0, Apache-2.0, MIT, BSD-2-Clause",[9]
Lawrence Livermore National Laboratory (LLNL),360,3.7868976E7,false,"GPL-2.0, LGPL-2.1, LGPL-3.0, Other, GPL-3.0, GPL-2.1, BSD-3-Clause, BSD-2-Clause, MIT, Apache-2.0, AGPL-3.0",[7]
Los Alamos National Laboratory (LANL),123,2.11492648E7,false,"BSD-3-Clause, GPL-2.0, Other, Apache-2.0, GPL-3.0, MIT, BSD-2-Clause, EPL-1.0, LGPL-2.1",[10]
National Energy Technology Laboratory (NETL),1,7220.0,false,Other,[10]
National Renewable Energy Laboratory (NREL),128,3.43648896E7,false,"Other, LGPL-3.0, Apache-2.0, BSD-2-Clause, GPL-3.0, BSD-3-Clause, MIT, AGPL-3.0, LGPL-2.1, GPL-2.0",[10]
Oak Ridge National Laboratory (ORNL),99,2.16266968E7,false,"BSD-3-Clause, MIT, GPL-2.0, GPL-3.0, Other, Apache-2.0, LGPL-3.0, LGPL-2.1, EPL-1.0, MPL-2.0, BSD-2-Clause, GPL-2.1",[10]
Office of Scientific and Technical Information (OSTI),42,9.32964448E7,false,"Other, BSD-3-Clause, enses:[], LGPL-3.0, MIT, LGPL-2.1, BSD-2-Clause",[7]
Pacific Northwest National Laboratory (PNNL),229,1.1096608E7,false,"Other, Apache-2.0, LGPL-2.1, MIT, BSD-2-Clause, BSD-3-Clause, GPL-2.0, GPL-3.0",[3]
Princeton Plasma Physics Laboratory (PPPL),12,1936723.2,false,"GPL-3.0, Other, MIT, BSD-3-Clause",[7]
SLAC National Accelerator Laboratory (SLAC),60,1406532.0,false,"Other, MIT, Apache-2.0, LGPL-3.0",[3]
Sandia National Laboratories (SNL),281,3.99983744E8,false,"BSD-3-Clause, LGPL-2.1, GPL-3.0, Other, MIT, LGPL-3.0, GPL-2.0, Apache-2.0, BSD-2-Clause, MPL-2.0, Unlicense, EPL-1.0, GPL-2.1",[10]
Thomas Jefferson National Accelerator Facility (TJNAF),5,758403.9999999999,false,"Other, BSD-3-Clause","[5, 10]"
